GSM329408	GSM329409	GSM329410	GSM329411	GSM329414	GSM329417	GSM329419	GSM329421	GSM329425	GSM329427
AC018766.6	3.7899	3.9298	5.3911	5.1444	4.8878	5.936	3.7697	2.9697	3.2837	5.4336
AC018816.3	6.9352	5.0101	6.6386	7.7738	5.8985	4.7589	6.0703	6.3732	5.4734	6.016
AC024560.2	7.7128	7.3688	7.4524	6.671	6.7528	7.2111	7.3025	5.7241	6.6012	7.9263
AC025442.3	7.5271	6.2161	8.3838	8.9616	6.5972	7.1355	6.3948	6.5614	6.7464	7.049
AC064852.4	6.0398	5.8475	5.8374	8.6167	5.4181	6.1171	3.9852	4.0383	4.4818	5.2015
AC067956.1	4.4626	5.1854	5.123	6.2941	4.3995	5.0453	4.4797	3.1936	3.9951	6.9815
AC068039.4	6.9355	7.1172	7.2648	7.874	5.8119	7.5503	6.8381	5.4179	7.2539	7.506
AC068138.1	4.0492	4.5755	6.8652	7.0426	4.8401	5.9475	3.4	5.5076	4.2962	4.3097
AC068831.3	5.1671	5.2995	7.4152	8.0567	5.1665	6.1455	5.4639	5.2285	3.7528	4.5622
AC069277.2 /// AF279782	4.5772	5.3871	7.4643	8.4111	6.0132	5.2066	5.9672	5.6512	3.1539	5.4105
AC073283.7	6.8981	8.2594	3.9929	7.5009	5.4898	5.555	8.0186	6.2779	8.1079	6.9519
AC073321.4	7.3275	6.3038	6.8292	6.6635	6.5516	6.28	6.9061	5.4527	5.9107	7.502
AC074212.6	4.7786	5.9675	5.8348	7.4811	5.7946	4.3205	6.8614	5.2997	5.1382	5.342
AC078842.4 /// AK094915	5.8352	6.1915	7.082	8.029	4.1565	6.8881	4.9147	4.4771	6.008	6.6488
AC078883.3 /// AC078883.4	5.23	5.6354	6.676	6.0496	4.2069	6.3536	5.7508	5.2566	5.2727	5.7927
AC079305.10	5.7267	7.2717	5.5547	8.9966	7.6634	7.4873	8.0821	10.8714	6.4256	8.6476
AC079741.2	6.5198	5.758	4.7467	5.686	5.4985	5.3624	6.8946	5.7884	5.2484	5.9511
AC079767.4	6.1521	7.892	8.1324	8.6927	5.7324	8.1656	8.0855	6.4369	6.5813	6.7189
AC079807.4	6.2959	5.5735	7.8177	7.5155	4.303	5.1616	5.628	6.2702	4.7748	5.3709
AC083843.1	6.7011	6.3114	6.1374	7.7603	4.4616	6.6707	7.5174	5.6852	7.5434	6.3062
AC083949.1	5.1819	7.605	7.6882	6.5975	5.9132	6.5791	9.2542	6.3676	5.8883	7.6159
AC084219.3	6.8855	5.0812	6.8654	6.3841	4.8661	4.462	4.7259	3.8543	4.1229	5.4344
AC087501.1	5.4909	4.9459	7.3124	6.4901	3.8995	5.9437	5.1005	4.426	4.1586	5.6398
AC090627.1	4.769	4.6293	5.0402	4.9352	3.6106	5.4162	4.2408	4.4632	3.8343	5.1574
AC091133.1	6.5854	7.0041	6.6416	8.3966	7.5748	7.7035	6.751	7.4945	7.6419	8.2679
AC091633.3	7.2019	4.4537	5.1694	4.6467	4.9408	5.1819	3.3789	4.8773	4.3787	3.48
AC092155.4 /// BC038779	4.7947	4.9889	5.8937	6.2292	4.2274	3.9644	4.6253	3.573	4.9978	5.7679
AC092192.1	6.3536	7.4359	6.0649	6.7642	4.6088	5.0205	6.0608	5.2021	4.0319	6.3891
AC092620.2	8.2301	10.3213	8.5314	9.8112	7.1744	7.7573	10.8362	8.3404	8.2003	9.3637
AC092660.1	6.7884	6.3734	6.1318	7.3723	6.4763	5.9177	5.7253	6.3373	5.4471	7.3609
AC092667.2	6.288	6.7327	5.9781	5.1903	6.3206	6.4386	5.9474	6.2713	5.5889	5.7998
AC099684.1 /// BC040634	6.1736	6.0604	6.2449	7.4309	5.7928	6.3288	4.2735	6.466	3.5476	4.4875
AC099850.1 /// BC017255	7.9325	5.9454	7.3362	6.6208	7.0849	6.9144	5.8634	5.7196	5.7275	3.905
AC100830.4	5.1893	4.6321	4.6063	6.3215	4.209	5.7247	4.0621	6.5278	5.5937	5.7042
AC104537.2 /// TCEB1P28	4.6046	5.1357	7.6198	6.6118	5.7708	5.4221	3.3911	3.6775	4.8862	3.7347
AC104667.3	5.4829	4.3518	3.1181	5.7254	4.876	3.5414	2.8563	3.6823	4.1733	4.336
AC106801.1	7.1579	7.1254	7.5373	9.4471	6.834	5.6902	7.6996	7.1786	6.2422	7.6039
AC108056.1	4.8946	3.3945	6.4468	6.67	3.926	4.9771	3.9875	4.8215	5.1273	5.4167
AC112198.1	5.6229	5.5238	6.1445	8.2017	5.7551	5.3859	5.5137	4.8953	4.7746	4.9087
AC114730.11	5.173	4.2287	6.3256	8.1775	4.462	4.9414	5.2622	5.9836	4.3211	5.5292
AC114752.3	5.7126	4.6238	5.5981	7.3853	4.9147	4.9684	3.814	5.8588	2.4899	4.871
AC124997.1	4.9508	5.1153	4.9142	5.7948	3.7126	4.4962	3.5542	3.8229	3.1311	5.8147
